code,title,year,genres,rating,cast,poster,plot
tt9179096,Minamata,2020,Drama,7.2,"Akiko Iwase, Kogarashi Wakasugi, Johnny Depp, Katherine Jenkins, Bill Nighy",https://image.tmdb.org/t/p/w500/tjn9yxa5QNFsV2mFPsaWdqOOk2g.jpg,War photographer W. Eugene Smith travels back to Japan where he documents the devastating effect of mercury poisoning in coastal communities.
tt9179230,Held for Ransom,2019,"Biography,Drama,Thriller",7.6,"Esben Smed, Sofie Torp, Anders W. Berthelsen, Toby Kebbell, Amir El-Masry",https://image.tmdb.org/t/p/w500/uUmXSyhZzq3Yd5n6615mhfMgy6B.jpg,"HELD FOR RANSOM tells the true story of Danish photojournalist Daniel Rye who was held hostage for 398 days in Syria by the terror organization ISIS along with several other foreign nationals including the American journalist, James Foley. The film follows Daniel’s struggle to survive in captivity, his friendship with James, and the nightmare of the Rye family back home in Denmark as they try to do everything in their power to save their son. At the center of this crisis, we find hostage negotiator, Arthur, who plays a pivotal role in securing Daniel’s release."
tt9179430,Vikram,2022,"Action,Crime,Thriller",8.3,"Kamal Haasan, Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain",https://image.tmdb.org/t/p/w500/774UV1aCURb4s4JfEFg3IEMu5Zj.jpg,"Amar is assigned to investigate a case of serial killings. When Amar investigates the case, he realizes it is not what it seems to be and following down this path will lead to nothing but war between everyone involved."
tt9185066,Human Capital,2019,"Drama,Thriller",5.7,"Liev Schreiber, Marisa Tomei, Peter Sarsgaard, Maya Hawke, Alex Wolff",https://image.tmdb.org/t/p/w500/d85nI1P0dYKVzWHjM5QVyi0zkfD.jpg,"Ian begins a relationship with Drew's daughter, who works in the financial sector. The couple gets involved in a tragic accident that will change their lives forever. At the same time, the accident has a major impact on both their families who, despite the class difference, cross paths."
tt9185206,"Are You There God? It's Me, Margaret.",2023,"Comedy,Drama,Family",7.3,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie, Elle Graham",https://image.tmdb.org/t/p/w500/yb6UB4WC3znlwU0L4AqMnjR9G9S.jpg,"When her family moves from New York City to New Jersey, an 11-year-old girl navigates new friends, feelings, and the beginning of adolescence."
tt9196192,Cuties,2020,Drama,3.6,"Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas, Myriam Hamma",https://image.tmdb.org/t/p/w500/ow3OA6OC0rjgbMVaLn2drwjvqZE.jpg,"Amy, an 11-year-old girl, joins a group of dancers named “the cuties” at school, and rapidly grows aware of her burgeoning femininity—upsetting her mother and her values in the process."
tt9198364,Three Thousand Years of Longing,2022,"Drama,Fantasy,Romance",6.7,"Tilda Swinton, Idris Elba, Erdil Yasaroglu, Sarah Houbolt, Sabrina Dhowre Elba",https://image.tmdb.org/t/p/w500/nS7DNl4A7XnDncZX70UJ8ALAihF.jpg,"A solitary scholar discovers an ancient bottle while on a trip to Istanbul and unleashes a djinn who offers her three wishes. Filled with reluctance, she is unable to come up with one, so the djinn tries to inspire her with his stories."
tt9203694,Stowaway,2021,"Adventure,Sci-Fi,Thriller",5.7,"Anna Kendrick, Daniel Dae Kim, Shamier Anderson, Toni Collette, Dan Barry",https://image.tmdb.org/t/p/w500/eFyRjhJfhNgM565U2mwEp5YUUOv.jpg,A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.
tt9204204,Little Joe,2019,"Drama,Horror,Mystery",5.8,"Emily Beecham, Ben Whishaw, Kerry Fox, Kit Connor, David Wilmot",https://image.tmdb.org/t/p/w500/q4VMyavCoXxN9U8AONE2YryQDVz.jpg,"Alice, a single mother who is more dedicated to her work as a genetic engineer than to her teenage son Joe, develops a new variety of flower that is supposed to have the ability to make its owner happy thanks to its special chemical properties."
tt9204328,Dark Harvest,2023,"Fantasy,Horror",5.5,"Casey Likes, Emyri Crutchfield, Dustin Ceithamer, Dustin Ceithamer, Alejandro Akara",https://image.tmdb.org/t/p/w500/sFBDjWdw8gHSI2dMivP7H52iwvp.jpg,"In a small Midwestern town, a deadly annual ritual unfolds when the mythical nightmare, Sawtooth Jack, rises from the cornfields and challenges the town’s teenage boys in a bloody battle of survival."
tt9206798,All Is True,2018,"Biography,Drama,History",6.3,"Kenneth Branagh, Judi Dench, Ian McKellen, Nonso Anozie, Lolita Chakrabarti",https://image.tmdb.org/t/p/w500/yae0QoZuPQ6yC8HleRYXXfttPLh.jpg,"London, June 29th, 1613. The Globe Theater, ran by the famous playwright William Shakespeare, accidentally burns to ashes. Seriously affected, he stops writing and returns to his hometown, where his wife Anne and daughters Judith and Susanna get surprised to hear he intends to stay there definitively, after two decades working in the capital, neglecting his sincere affections for them."
tt9207700,Made in Italy,2020,"Comedy,Drama,Romance",6.0,"Yolanda Kettle, Micheál Neeson, Souad Faress, Liam Neeson, Lindsay Duncan",https://image.tmdb.org/t/p/w500/dKjD3DTZjRI3Ipkf7Oz5zAILnwD.jpg,A bohemian artist travels from London to Italy with his estranged son to sell the house they inherited from his late wife.
tt9208444,Impractical Jokers: The Movie,2020,Comedy,5.7,"Paula Abdul, Joe Gatto, James Murray, Brian Quinn, Sal Vulcano",https://image.tmdb.org/t/p/w500/kTHzM6pPIjs4LHX33thyZpnKiOP.jpg,The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.
tt9213244,Antrum: The Deadliest Film Ever Made,2018,Horror,4.9,"Nicole Tompkins, Rowan Smyth, Dan Istrate, Circus-Szalewski, Shu Sakimoto",https://image.tmdb.org/t/p/w500/20de4Rcmy4B0L5zyOc3Nc5F7c0D.jpg,"Rumored to have been lost, Antrum appears as a cursed film from the 1970s. Viewers are warned to proceed with caution. It’s said to be a story about a young boy and girl who enter the forest in an attempt to save the soul of their recently deceased pet. They journey to “The Antrum,” the very spot the devil landed after being cast out of heaven. There, the children begin to dig a hole to hell."
tt9214772,Monkey Man,2024,"Action,Crime,Thriller",6.8,"Dev Patel, Sharlto Copley, Pitobash, Jatin Malik, Sikandar Kher",https://image.tmdb.org/t/p/w500/4lhR4L2vzzjl68P1zJyCH755Oz4.jpg,"Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city’s sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him."
tt9214832,Emma.,2020,"Comedy,Drama,Romance",6.7,"Anya Taylor-Joy, Johnny Flynn, Mia Goth, Josh O'Connor, Callum Turner",https://image.tmdb.org/t/p/w500/uHpHzbHLSsVmAuuGuQSpyVDZmDc.jpg,"In 1800s England, a well-meaning but selfish young woman meddles in the love lives of her friends."
tt9218128,Gladiator II,2024,"Action,Adventure,Drama",6.5,"Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn",https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people."
tt9224104,Meg 2: The Trench,2023,"Action,Adventure,Horror",5.0,"Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis, Page Kennedy",https://image.tmdb.org/t/p/w500/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.
tt9224288,Mainstream,2020,"Comedy,Drama",5.0,"Andrew Garfield, Maya Hawke, Nat Wolff, Kalena Yiaueki, Jacqueline de La Fontaine",https://image.tmdb.org/t/p/w500/9vTf02WXyldeKN4kfwZRwwI4XbG.jpg,A young woman thinks she’s found a path to internet stardom when she starts making YouTube videos with a charismatic stranger  – until the dark side of viral celebrity threatens to ruin them both.
tt9225192,Unstoppable,2018,"Action,Comedy,Crime",6.6,"Ma Dong-seok, Song Ji-hyo, Kim Sung-oh, Kim Min-jae, Park Ji-hwan",https://image.tmdb.org/t/p/w500/csle64zkLObsdRoabreC6bBRxLI.jpg,"Dong-chul and Ji-soo are a happily married couple. One day, Dong-chul comes home to find his house in disarray and his wife missing."
tt9231040,First Cow,2019,"Drama,Western",7.1,"Alia Shawkat, John Magaro, Dylan Smith, Ryan Findley, Clayton Nemrow",https://image.tmdb.org/t/p/w500/yS41crZ1i0fFxCQbuL7I1Y1VBwm.jpg,"In the 1820s, a taciturn loner and skilled cook travels west to Oregon Territory, where he meets a Chinese immigrant also seeking his fortune. Soon the two team up on a dangerous scheme to steal milk from the wealthy landowner’s prized Jersey cow – the first, and only, in the territory."
